iter	RMSE
893	0.05395738621
894	0.05394765247
895	0.05386045442
896	0.05383768395
897	0.05378224049
898	0.05372877034
899	0.05366856384
900	0.05359485547
901	0.05353864362
902	0.05344430115
903	0.05337465024
904	0.05333222947
905	0.05331949761
906	0.0532647341
907	0.05313699458
908	0.05306445728
909	0.05304311084
910	0.05291915259
911	0.05286135878
912	0.05280156105
913	0.05270374574
914	0.05263984351
915	0.05255314771
916	0.05243210342
917	0.05236155288
918	0.05226510703
919	0.05223636555
920	0.05218163941
921	0.0521140591
922	0.05207481029
923	0.052024702
924	0.05186245327
925	0.05183634957
926	0.05181360028
927	0.05173230851
928	0.05167723861
929	0.05156441063
930	0.05151804522
931	0.05143414919
932	0.05134769726
933	0.05124044477
934	0.05118247021
935	0.05115624837
936	0.05111356707
937	0.05101252472
938	0.05093339872
939	0.05083911413
940	0.05077927039
941	0.05074003122
942	0.05070329714
943	0.05060716277
944	0.05058047899
945	0.05053726239
946	0.05050800966
947	0.05035425259
948	0.05029681306
949	0.05009106906
950	0.05007988289
951	0.05004525815
952	0.04999953036
953	0.04997535583
954	0.04991189437
955	0.04983769491
956	0.04980035543
957	0.04969293432
958	0.04961884967
959	0.04958024637
960	0.04950403052
961	0.04938539214
962	0.04936014092
963	0.04929011733
964	0.04927044881
965	0.0492328007
966	0.04917410831
967	0.0491561882
968	0.04900490249
969	0.04891906768
970	0.04882122709
971	0.04871015044
972	0.04864044458
973	0.04857970183
974	0.0485105166
975	0.04844933761
976	0.04839371586
977	0.04827347697
978	0.04820640444
979	0.0481814485
980	0.04817249097
981	0.04812193373
982	0.04809067375
983	0.04796710646
984	0.04795091245
985	0.04793671811
986	0.04792065511
987	0.04790747121
988	0.04786481319
989	0.04774500587
990	0.04768695546
991	0.0476356216
992	0.04759808446
993	0.04754175401
994	0.04751461614
995	0.04749717903
996	0.04741974316
997	0.04738682436
998	0.047347231
999	0.04730747223
